libserd-0-0:arm64	0.30.10-2
libsgutils2-2:arm64	1.46-1ubuntu0.22.04.1
libshiboken2-dev	5.15.2-2build2
libshiboken2-py3-5.15	5.15.2-2build2
libshine3:arm64	3.1.1-2
libshout3:arm64	2.4.5-1build3
libsidplay1v5:arm64	1.36.60-1
libsigc++-2.0-0v5:arm64	2.10.4-2ubuntu3
libsigsegv2:arm64	2.13-1ubuntu3
libslang2:arm64	2.3.2-5build4
libsliplu1:arm64	1:5.10.1+dfsg-4build1
libsm-dev:arm64	2:1.2.3-1build2
libsm6:arm64	2:1.2.3-1build2
libsmartcols1:arm64	2.37.2-4ubuntu3.4
libsmbclient:arm64	2:4.15.13+dfsg-0ubuntu1.7
libsnapd-glib1:arm64	1.60-0ubuntu1
libsnappy1v5:arm64	1.1.8-1build3
libsndfile1:arm64	1.0.31-2ubuntu0.2
libsndio-dev:arm64	1.8.1-1.1
libsndio7.0:arm64	1.8.1-1.1
libsnmp-base	5.9.1+dfsg-1ubuntu2.8
libsnmp40:arm64	5.9.1+dfsg-1ubuntu2.8
libsocket++1:arm64	1.12.13+git20131030.5d039ba-1
libsodium-dev:arm64	1.0.18-1build2
libsodium23:arm64	1.0.18-1build2
libsonic0:arm64	0.2.0-11build1
libsord-0-0:arm64	0.16.8-2
libsoundtouch1:arm64	2.3.1+ds1-1
libsoup-3.0-0:arm64	3.0.7-0ubuntu1
libsoup-3.0-common	3.0.7-0ubuntu1
libsoup-gnome2.4-1:arm64	2.74.2-3ubuntu0.6
libsoup2.4-1:arm64	2.74.2-3ubuntu0.6
libsoup2.4-common	2.74.2-3ubuntu0.6
libsource-highlight-common	3.1.9-4.1build2
libsource-highlight4v5	3.1.9-4.1build2
libsox-fmt-alsa:arm64	14.4.2+git20190427-2+deb11u2ubuntu0.22.04.1
libsox-fmt-base:arm64	14.4.2+git20190427-2+deb11u2ubuntu0.22.04.1
libsox3:arm64	14.4.2+git20190427-2+deb11u2ubuntu0.22.04.1
libsoxr0:arm64	0.1.3-4build2
libspa-0.2-modules:arm64	0.3.48-1ubuntu3
libspandsp2:arm64	0.0.6+dfsg-2
libspatialite-dev:arm64	5.0.1-2build2
libspatialite7:arm64	5.0.1-2build2
libspdlog-dev:arm64	1:1.9.2+ds-0.2
libspdlog1:arm64	1:1.9.2+ds-0.2
libspectre1:arm64	0.2.10-1
libspeechd2:arm64	0.11.1-1ubuntu3
libspeex1:arm64	1.2~rc1.2-1.1ubuntu3
libspeexdsp1:arm64	1.2~rc1.2-1.1ubuntu3
libsphinxbase3:arm64	0.8+5prealpha+1-13build1
libspqr2:arm64	1:5.10.1+dfsg-4build1
libsqlite3-0:arm64	3.37.2-2ubuntu0.5
libsqlite3-dev:arm64	3.37.2-2ubuntu0.5
libsratom-0-0:arm64	0.6.8-1
libsrt1.4-gnutls:arm64	1.4.4-4
libsrtp2-1:arm64	2.4.2-2
libss2:arm64	1.46.5-2ubuntu1.2
libssh-4:arm64	0.9.6-2ubuntu0.22.04.4
libssh-gcrypt-4:arm64	0.9.6-2ubuntu0.22.04.4
libssl-dev:arm64	3.0.2-0ubuntu1.19
libssl3:arm64	3.0.2-0ubuntu1.19
libsss-certmap0	2.6.3-1ubuntu3.6
libsss-idmap0	2.6.3-1ubuntu3.6
libsss-nss-idmap0	2.6.3-1ubuntu3.6
libstartup-notification0:arm64	0.12-6build2
libstdc++-11-dev:arm64	11.4.0-1ubuntu1~22.04.2
libstdc++6:arm64	12.3.0-1ubuntu1~22.04.2
libstemmer0d:arm64	2.2.0-1build1
libsuitesparse-dev:arm64	1:5.10.1+dfsg-4build1
libsuitesparseconfig5:arm64	1:5.10.1+dfsg-4build1
libsuperlu-dev:arm64	5.3.0+dfsg1-2
libsuperlu5:arm64	5.3.0+dfsg1-2
libswresample-dev:arm64	7:4.4.2-0ubuntu0.22.04.1
libswresample3:arm64	7:4.4.2-0ubuntu0.22.04.1
libswscale-dev:arm64	7:4.4.2-0ubuntu0.22.04.1
libswscale5:arm64	7:4.4.2-0ubuntu0.22.04.1
libsynctex2:arm64	2021.20210626.59705-1ubuntu0.2
libsysmetrics1:arm64	1.7.1ubuntu0.1
libsystemd0:arm64	249.11-0ubuntu3.16
libsz2:arm64	1.0.6-1
libtag1v5:arm64	1.11.1+dfsg.1-3ubuntu3
libtag1v5-vanilla:arm64	1.11.1+dfsg.1-3ubuntu3
libtalloc2:arm64	2.3.3-2build1
libtasn1-6:arm64	4.18.0-4ubuntu0.1
libtbb-dev:arm64	2021.5.0-7ubuntu2
libtbb12:arm64	2021.5.0-7ubuntu2
libtbb2:arm64	2020.3-1ubuntu3
libtbbmalloc2:arm64	2021.5.0-7ubuntu2
libtcl8.6:arm64	8.6.12+dfsg-1build1
libtdb1:arm64	1.4.5-2build1
libteamdctl0:arm64	1.31-1build2
libtesseract4:arm64	4.1.1-2.1build1
libtevent0:arm64	0.11.0-1build1
libtext-iconv-perl	1.7-7build3
libthai-data	0.1.29-1build1
libthai0:arm64	0.1.29-1build1
libtheora-dev:arm64	1.1.1+dfsg.1-15ubuntu4
libtheora0:arm64	1.1.1+dfsg.1-15ubuntu4
libtie-ixhash-perl	1.23-2.1
libtiff-dev:arm64	4.3.0-6ubuntu0.11
libtiff5:arm64	4.3.0-6ubuntu0.11
libtiffxx5:arm64	4.3.0-6ubuntu0.11
libtimedate-perl	2.3300-2
libtinfo5:arm64	6.3-2ubuntu0.1
libtinfo6:arm64	6.3-2ubuntu0.1
libtinyxml-dev:arm64	2.6.2-6ubuntu0.22.04.1
libtinyxml2-9:arm64	9.0.0+dfsg-3
libtinyxml2-dev:arm64	9.0.0+dfsg-3
libtinyxml2.6.2v5:arm64	2.6.2-6ubuntu0.22.04.1
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev:arm64	1.3.2-2ubuntu0.1
libtirpc3:arm64	1.3.2-2ubuntu0.1
libtk8.6:arm64	8.6.12-1build1
libtool	2.4.6-15build2
libtotem-plparser-common	3.26.6-1build1
libtotem-plparser18:arm64	3.26.6-1build1
libtotem0:arm64	42.0-1ubuntu1
libtracker-sparql-3.0-0:arm64	3.3.0-1
libtry-tiny-perl	0.31-1
libtsan0:arm64	11.4.0-1ubuntu1~22.04.2
libtss2-esys-3.0.2-0:arm64	3.2.0-1ubuntu1.1
libtss2-mu0:arm64	3.2.0-1ubuntu1.1
libtss2-rc0:arm64	3.2.0-1ubuntu1.1
libtss2-sys1:arm64	3.2.0-1ubuntu1.1
libtss2-tcti-cmd0:arm64	3.2.0-1ubuntu1.1
libtss2-tcti-device0:arm64	3.2.0-1ubuntu1.1
libtss2-tcti-mssim0:arm64	3.2.0-1ubuntu1.1
libtss2-tcti-swtpm0:arm64	3.2.0-1ubuntu1.1
libtss2-tctildr0:arm64	3.2.0-1ubuntu1.1
libtwolame0:arm64	0.4.0-2build2
libu2f-udev	1.1.10-3build2
libubootenv-tool	0.3.2-1build1
libubootenv0.1:arm64	0.3.2-1build1
libubsan1:arm64	12.3.0-1ubuntu1~22.04.2
libuchardet0:arm64	0.0.7-1build2
libucx0:arm64	1.12.1~rc2-1
libudev-dev:arm64	249.11-0ubuntu3.16
libudev1:arm64	249.11-0ubuntu3.16
libudfread0:arm64	1.1.2-1
libudisks2-0:arm64	2.9.4-1ubuntu2.3
libumfpack5:arm64	1:5.10.1+dfsg-4build1
libunistring2:arm64	1.0-1
libunity-protocol-private0:arm64	7.1.4+19.04.20190319-6build1
libunity-scopes-json-def-desktop	7.1.4+19.04.20190319-6build1
libunity9:arm64	7.1.4+19.04.20190319-6build1
libuno-cppu3	1:7.3.7-0ubuntu0.22.04.10
libuno-cppuhelpergcc3-3	1:7.3.7-0ubuntu0.22.04.10
libuno-purpenvhelpergcc3-3	1:7.3.7-0ubuntu0.22.04.10
libuno-sal3	1:7.3.7-0ubuntu0.22.04.10
libuno-salhelpergcc3-3	1:7.3.7-0ubuntu0.22.04.10
libunwind-dev:arm64	1.3.2-2build2.1
libunwind8:arm64	1.3.2-2build2.1
libupower-glib3:arm64	0.99.17-1
liburi-perl	5.10-1
liburiparser-dev	0.9.6+dfsg-1
liburiparser1:arm64	0.9.6+dfsg-1
libusb-1.0-0:arm64	2:1.0.25-1ubuntu2
libusb-1.0-0-dev:arm64	2:1.0.25-1ubuntu2
libusb-1.0-doc	2:1.0.25-1ubuntu2
libusbmuxd6:arm64	2.0.2-3build2
libutempter0:arm64	1.2.1-2build2
libutfcpp-dev:arm64	3.2.1-2
libuuid1:arm64	2.37.2-4ubuntu3.4
libuv1:arm64	1.43.0-1ubuntu0.1
libv4l-0:arm64	1.22.1-2build1
libv4lconvert0:arm64	1.22.1-2build1
libva-drm2:arm64	2.14.0-1
libva-x11-2:arm64	2.14.0-1
libva2:arm64	2.14.0-1
libvdpau1:arm64	1.4-3build2
libvidstab1.1:arm64	1.1.0-2
libvisio-0.1-1:arm64	0.1.7-1build5
libvisual-0.4-0:arm64	0.4.0-17build2
libvncclient1:arm64	0.9.13+dfsg-3build2
libvncserver1:arm64	0.9.13+dfsg-3build2
libvo-aacenc0:arm64	0.1.3-2
libvo-amrwbenc0:arm64	0.1.3-2
libvolume-key1	0.3.12-3.1build3
libvorbis0a:arm64	1.3.7-1build2
libvorbisenc2:arm64	1.3.7-1build2
libvorbisfile3:arm64	1.3.7-1build2
libvpx7:arm64	1.11.0-2ubuntu2.4
libvte-2.91-0:arm64	0.68.0-1ubuntu0.1
libvte-2.91-common	0.68.0-1ubuntu0.1
libvtk9-dev	9.1.0+really9.1.0+dfsg2-3build1
libvtk9-java	9.1.0+really9.1.0+dfsg2-3build1
libvtk9-qt-dev:arm64	9.1.0+really9.1.0+dfsg2-3build1
libvtk9.1:arm64	9.1.0+really9.1.0+dfsg2-3build1
libvtk9.1-qt:arm64	9.1.0+really9.1.0+dfsg2-3build1
libvulkan-dev:arm64	1.3.204.1-2
libvulkan1:arm64	1.3.204.1-2
libwacom-bin	2.2.0-1
libwacom-common	2.2.0-1
libwacom9:arm64	2.2.0-1
libwavpack1:arm64	5.4.0-1build2
libwayland-bin	1.20.0-1ubuntu0.1
libwayland-client0:arm64	1.20.0-1ubuntu0.1
libwayland-cursor0:arm64	1.20.0-1ubuntu0.1
libwayland-dev:arm64	1.20.0-1ubuntu0.1
libwayland-egl1:arm64	1.20.0-1ubuntu0.1
libwayland-server0:arm64	1.20.0-1ubuntu0.1
libwbclient0:arm64	2:4.15.13+dfsg-0ubuntu1.7
libwebkit2gtk-4.0-37:arm64	2.48.5-0ubuntu0.22.04.1
libwebkit2gtk-4.1-0:arm64	2.48.5-0ubuntu0.22.04.1
libwebp-dev:arm64	1.2.2-2ubuntu0.22.04.2
libwebp7:arm64	1.2.2-2ubuntu0.22.04.2
libwebpdemux2:arm64	1.2.2-2ubuntu0.22.04.2
libwebpmux3:arm64	1.2.2-2ubuntu0.22.04.2
libwebrtc-audio-processing1:arm64	0.3.1-0ubuntu5
libwhoopsie-preferences0	23
libwhoopsie0:arm64	0.2.77
libwildmidi2:arm64	0.4.3-1
libwinpr2-2:arm64	2.6.1+dfsg1-3ubuntu2.7
libwmf-0.2-7:arm64	0.2.12-5ubuntu1
libwmf-0.2-7-gtk	0.2.12-5ubuntu1
libwmf-dev	0.2.12-5ubuntu1
libwmf0.2-7-gtk:arm64	0.2.12-5ubuntu1
libwmflite-0.2-7:arm64	0.2.12-5ubuntu1
libwnck-3-0:arm64	40.1-1
libwnck-3-common	40.1-1
libwoff1:arm64	1.0.2-1build4
libwpd-0.10-10:arm64	0.10.3-2build1
libwpg-0.3-3:arm64	0.3.3-1build3
libwps-0.4-4:arm64	0.4.12-2build1
libwrap0:arm64	7.6.q-31build2
libwww-perl	6.61-1
libwww-robotrules-perl	6.02-1
libx11-6:arm64	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libx11-dev:arm64	2:1.7.5-1ubuntu0.3
libx11-protocol-perl	0.56-7.1
libx11-xcb-dev:arm64	2:1.7.5-1ubuntu0.3
libx11-xcb1:arm64	2:1.7.5-1ubuntu0.3
libx264-163:arm64	2:0.163.3060+git5db6aa6-2build1
libx265-199:arm64	3.5-2
libx265-dev:arm64	3.5-2
libxapian30:arm64	1.4.18-4
libxau-dev:arm64	1:1.0.9-1build5
libxau6:arm64	1:1.0.9-1build5
libxaw7:arm64	2:1.0.14-1
libxaw7-dev:arm64	2:1.0.14-1
libxcb-dri2-0:arm64	1.14-3ubuntu3
libxcb-dri3-0:arm64	1.14-3ubuntu3
libxcb-glx0:arm64	1.14-3ubuntu3
libxcb-icccm4:arm64	0.4.1-1.1build2
libxcb-image0:arm64	0.4.0-2
libxcb-keysyms1:arm64	0.4.0-1build3
libxcb-present0:arm64	1.14-3ubuntu3
libxcb-randr0:arm64	1.14-3ubuntu3
libxcb-render-util0:arm64	0.3.9-1build3
libxcb-render0:arm64	1.14-3ubuntu3
libxcb-res0:arm64	1.14-3ubuntu3
libxcb-shape0:arm64	1.14-3ubuntu3
libxcb-shm0:arm64	1.14-3ubuntu3
libxcb-sync1:arm64	1.14-3ubuntu3
libxcb-util1:arm64	0.4.0-1build2
libxcb-xfixes0:arm64	1.14-3ubuntu3
libxcb-xinerama0:arm64	1.14-3ubuntu3
libxcb-xinput0:arm64	1.14-3ubuntu3
libxcb-xkb1:arm64	1.14-3ubuntu3
libxcb-xv0:arm64	1.14-3ubuntu3
libxcb1:arm64	1.14-3ubuntu3
libxcb1-dev:arm64	1.14-3ubuntu3
libxcomposite1:arm64	1:0.4.5-1build2
libxcursor-dev:arm64	1:1.2.0-2build4
libxcursor1:arm64	1:1.2.0-2build4
libxcvt0:arm64	0.1.1-3
libxdamage1:arm64	1:1.1.5-2build2
libxdmcp-dev:arm64	1:1.1.3-0ubuntu5
libxdmcp6:arm64	1:1.1.3-0ubuntu5
libxerces-c-dev:arm64	3.2.3+debian-3ubuntu0.1
libxerces-c3.2:arm64	3.2.3+debian-3ubuntu0.1
libxext-dev:arm64	2:1.3.4-1build1
libxext6:arm64	2:1.3.4-1build1
libxfixes-dev:arm64	1:6.0.0-1
libxfixes3:arm64	1:6.0.0-1
libxfont2:arm64	1:2.0.5-1build1
libxft-dev:arm64	2.3.4-1
libxft2:arm64	2.3.4-1
libxi-dev:arm64	2:1.8-1build1
libxi6:arm64	2:1.8-1build1
libxinerama-dev:arm64	2:1.1.4-3
libxinerama1:arm64	2:1.1.4-3
libxkbcommon-dev:arm64	1.4.0-1
libxkbcommon-x11-0:arm64	1.4.0-1
libxkbcommon0:arm64	1.4.0-1
libxkbfile1:arm64	1:1.1.0-1build3
libxkbregistry0:arm64	1.4.0-1
libxklavier16:arm64	5.4-4build2
libxml-parser-perl:arm64	2.46-3build1
libxml-twig-perl	1:3.52-1
libxml-xpathengine-perl	0.14-1
libxml2:arm64	2.9.13+dfsg-1ubuntu0.8
libxml2-dev:arm64	2.9.13+dfsg-1ubuntu0.8
libxml2-utils	2.9.13+dfsg-1ubuntu0.8
libxmlb2:arm64	0.3.6-2build1
libxmlsec1:arm64	1.2.33-1build2
libxmlsec1-nss:arm64	1.2.33-1build2
libxmu-dev:arm64	2:1.1.3-3
libxmu-headers	2:1.1.3-3
libxmu6:arm64	2:1.1.3-3
libxmuu1:arm64	2:1.1.3-3
libxnvctrl0:arm64	510.47.03-0ubuntu1
libxpm-dev:arm64	1:3.5.12-1ubuntu0.22.04.2
libxpm4:arm64	1:3.5.12-1ubuntu0.22.04.2
libxrandr-dev:arm64	2:1.5.2-1build1
libxrandr2:arm64	2:1.5.2-1build1
libxrender-dev:arm64	1:0.9.10-1build4
libxrender1:arm64	1:0.9.10-1build4
libxres1:arm64	2:1.2.1-1
libxshmfence1:arm64	1.3-1build4
libxsimd-dev:arm64	7.6.0-2
libxslt1.1:arm64	1.1.34-4ubuntu0.22.04.4
libxss-dev:arm64	1:1.2.3-1build2
libxss1:arm64	1:1.2.3-1build2
libxt-dev:arm64	1:1.2.1-1
libxt6:arm64	1:1.2.1-1
libxtables12:arm64	1.8.7-1ubuntu5.2
libxtensor-dev:arm64	0.23.10-15
libxtst6:arm64	2:1.2.3-1build4
libxv-dev:arm64	2:1.0.11-1build2
libxv1:arm64	2:1.0.11-1build2
libxvidcore4:arm64	2:1.3.7-1
libxxf86dga1:arm64	2:1.1.5-0ubuntu3
libxxf86vm-dev:arm64	1:1.1.4-1build3
libxxf86vm1:arm64	1:1.1.4-1build3
libxxhash0:arm64	0.8.1-1
libyajl2:arm64	2.1.0-3ubuntu0.22.04.1
libyaml-0-2:arm64	0.2.2-1build2
libyaml-cpp-dev	0.7.0+dfsg-8build1
libyaml-cpp0.7:arm64	0.7.0+dfsg-8build1
libyaml-dev:arm64	0.2.2-1build2
libyelp0:arm64	42.1-1ubuntu0.1
libz3-4:arm64	4.8.12-1
libzbar0:arm64	0.23.92-4build2
libzimg2:arm64	3.0.3+ds1-1
libzmq3-dev:arm64	4.3.4-2
libzmq5:arm64	4.3.4-2
libzstd-dev:arm64	1.4.8+dfsg-3build1
libzstd1:arm64	1.4.8+dfsg-3build1
libzvbi-common	0.2.35-19
libzvbi0:arm64	0.2.35-19
libzxingcore1:arm64	1.2.0-1
linux-base	4.5ubuntu9+22.04.1
linux-firmware	20220329.git681281e4-0ubuntu3.39
linux-generic	5.15.0.153.153
linux-headers-5.15.0-153	5.15.0-153.163
linux-headers-5.15.0-153-generic	5.15.0-153.163
linux-headers-generic	5.15.0.153.153
linux-image-5.15.0-153-generic	5.15.0-153.163
linux-image-generic	5.15.0.153.153
linux-libc-dev:arm64	5.15.0-153.163
linux-modules-5.15.0-153-generic	5.15.0-153.163
linux-modules-extra-5.15.0-153-generic	5.15.0-153.163
linux-sound-base	1.0.25+dfsg-0ubuntu7
locales	2.35-0ubuntu3.10
login	1:4.8.1-2ubuntu2.2
logsave	1.46.5-2ubuntu1.2
lp-solve	5.5.2.5-2build2
lpr	1:2008.05.17.3+nmu1
lsb-base	11.1.0ubuntu4
lsb-release	11.1.0ubuntu4
lshw	02.19.git.2021.06.19.996aaad9c7-2build1
lsof	4.93.2+dfsg-1.1build2
lto-disabled-list	24
lvm2	2.03.11-2.1ubuntu5
m4	1.4.18-5ubuntu2
mailcap	3.70+nmu1ubuntu1
make	4.3-4.1build1
man-db	2.10.2-1
mawk	1.3.4.20200120-3
media-player-info	24-2
media-types	7.0.0
mime-support	3.66
mobile-broadband-provider-info	20220315-1
modemmanager	1.20.0-1~ubuntu22.04.4
mono-4.0-gac	6.8.0.105+dfsg-3.2
mono-gac	6.8.0.105+dfsg-3.2
mono-runtime	6.8.0.105+dfsg-3.2
mono-runtime-common	6.8.0.105+dfsg-3.2
mono-runtime-sgen	6.8.0.105+dfsg-3.2
mount	2.37.2-4ubuntu3.4
mousetweaks	3.32.0-3build2
mpi-default-bin	1.14
mpi-default-dev	1.14
mscompress	0.4-9build1
mtd-utils	1:2.1.4-1
mutter-common	42.9-0ubuntu9
mysql-common	5.8+1.0.8
nano	6.2-1ubuntu0.1
nautilus	1:42.6-0ubuntu2
nautilus-data	1:42.6-0ubuntu2
nautilus-extension-gnome-terminal	3.44.0-1ubuntu1
nautilus-sendto	3.8.6-4
nautilus-share	0.7.3-2ubuntu6
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
ncurses-term	6.3-2ubuntu0.1
net-tools	1.60+git20181103.0eebece-1ubuntu5.4
netbase	6.3
netcat-openbsd	1.218-4ubuntu1
network-manager	1.36.6-0ubuntu2.1
network-manager-config-connectivity-ubuntu	1.36.6-0ubuntu2.1
network-manager-gnome	1.24.0-1ubuntu3
network-manager-openvpn	1.8.18-1
network-manager-openvpn-gnome	1.8.18-1
network-manager-pptp	1.2.10-1
network-manager-pptp-gnome	1.2.10-1
networkd-dispatcher	2.1-2ubuntu0.22.04.2
nftables	1.0.2-1ubuntu3
nlohmann-json3-dev	3.10.5-2
notify-osd	0.9.35+20.04.20191129-0ubuntu2
ntfs-3g	1:2021.8.22-3ubuntu1.2
ntp	1:4.2.8p15+dfsg-1ubuntu2
numactl	2.0.14-3ubuntu2
nvidia-l4t-3d-core	36.4.3-20250107174145
nvidia-l4t-apt-source	36.4.3-20250107174145
nvidia-l4t-bootloader	36.4.3-20250107174145
nvidia-l4t-camera	36.4.3-20250107174145
nvidia-l4t-configs	36.4.3-20250107174145
nvidia-l4t-core	36.4.3-20250107174145
nvidia-l4t-cuda	36.4.3-20250107174145
nvidia-l4t-cuda-utils	36.4.3-20250107174145
nvidia-l4t-display-kernel	5.15.148-tegra-36.4.3-20250107174145
nvidia-l4t-firmware	36.4.3-20250107174145
nvidia-l4t-gbm	36.4.3-20250107174145
nvidia-l4t-graphics-demos	36.4.3-20250107174145
nvidia-l4t-init	36.4.3-20250107174145
nvidia-l4t-initrd	36.4.3-20250107174145
nvidia-l4t-jetson-io	36.4.3-20250107174145
nvidia-l4t-jetsonpower-gui-tools	36.4.3-20250107174145
nvidia-l4t-kernel	5.15.148-tegra-36.4.3-20250107174145
nvidia-l4t-kernel-dtbs	5.15.148-tegra-36.4.3-20250107174145
nvidia-l4t-kernel-headers	5.15.148-tegra-36.4.3-20250107174145
nvidia-l4t-kernel-oot-headers	5.15.148-tegra-36.4.3-20250107174145
nvidia-l4t-kernel-oot-modules	5.15.148-tegra-36.4.3-20250107174145
nvidia-l4t-libwayland-client0	36.4.3-20250107174145
nvidia-l4t-libwayland-cursor0	36.4.3-20250107174145
nvidia-l4t-libwayland-egl1	36.4.3-20250107174145
nvidia-l4t-libwayland-server0	36.4.3-20250107174145
nvidia-l4t-multimedia	36.4.3-20250107174145
nvidia-l4t-multimedia-utils	36.4.3-20250107174145
nvidia-l4t-nvfancontrol	36.4.3-20250107174145
nvidia-l4t-nvml	36.4.3-20250107174145
nvidia-l4t-nvpmodel	36.4.3-20250107174145
nvidia-l4t-nvpmodel-gui-tools	36.4.3-20250107174145
nvidia-l4t-nvsci	36.4.3-20250107174145
nvidia-l4t-oem-config	36.4.3-20250107174145
nvidia-l4t-openwfd	36.4.3-20250107174145
nvidia-l4t-optee	36.4.3-20250107174145
nvidia-l4t-pva	36.4.3-20250107174145
nvidia-l4t-tools	36.4.3-20250107174145
nvidia-l4t-vulkan-sc	36.4.3-20250107174145
nvidia-l4t-vulkan-sc-dev	36.4.3-20250107174145
nvidia-l4t-vulkan-sc-samples	36.4.3-20250107174145
nvidia-l4t-vulkan-sc-sdk	36.4.3-20250107174145
nvidia-l4t-wayland	36.4.3-20250107174145
nvidia-l4t-weston	36.4.3-20250107174145
nvidia-l4t-x11	36.4.3-20250107174145
nvidia-l4t-xusb-firmware	36.4.3-20250107174145
nvme-cli	1.16-3ubuntu0.3
obexftp	0.24-6build5
obexpushd	0.11.2-1.1build2
ocl-icd-libopencl1:arm64	2.2.14-3
oem-config	22.04.20
oem-config-gtk	22.04.20
onboard	1.4.1-5build5
onboard-common	1.4.1-5build5
openjdk-11-jdk:arm64	11.0.28+6-1ubuntu1~22.04.1
openjdk-11-jdk-headless:arm64	11.0.28+6-1ubuntu1~22.04.1
openjdk-11-jre:arm64	11.0.28+6-1ubuntu1~22.04.1
openjdk-11-jre-headless:arm64	11.0.28+6-1ubuntu1~22.04.1
openmpi-bin	4.1.2-2ubuntu1
openmpi-common	4.1.2-2ubuntu1
openni-utils	1.5.4.0+dfsg-5
openprinting-ppds	20220223-0ubuntu1
openssh-client	1:8.9p1-3ubuntu0.13
openssh-server	1:8.9p1-3ubuntu0.13
openssh-sftp-server	1:8.9p1-3ubuntu0.13
openssl	3.0.2-0ubuntu1.19
openvpn	2.5.11-0ubuntu0.22.04.1
orca	42.0-1ubuntu2
p11-kit	0.24.0-6build1
p11-kit-modules:arm64	0.24.0-6build1
packagekit	1.2.5-2ubuntu3
packagekit-tools	1.2.5-2ubuntu3
paps	0.6.8-7.1
parted	3.4-2build1
passwd	1:4.8.1-2ubuntu2.2
patch	2.7.6-7build2
pci.ids	0.0~2022.01.22-1ubuntu0.1
pciutils	1:3.7.0-6
pcmciautils	018-13build1
perl	5.34.0-3ubuntu1.5
perl-base	5.34.0-3ubuntu1.5
perl-modules-5.34	5.34.0-3ubuntu1.5
perl-openssl-defaults:arm64	5build2
pinentry-curses	1.1.1-1build2
pinentry-gnome3	1.1.1-1build2
pipewire:arm64	0.3.48-1ubuntu3
pipewire-bin	0.3.48-1ubuntu3
pipewire-media-session	0.4.1-2ubuntu1
pkexec	0.105-33
pkg-config	0.29.2-1ubuntu3
plymouth	0.9.5+git20211018-1ubuntu3
plymouth-label	0.9.5+git20211018-1ubuntu3
plymouth-theme-spinner	0.9.5+git20211018-1ubuntu3
policykit-1	0.105-33
policykit-desktop-privileges	0.21
polkitd	0.105-33
poppler-data	0.4.11-1
poppler-utils	22.02.0-2ubuntu0.10
power-profiles-daemon	0.10.1-3
ppp	2.4.9-1+1ubuntu3
pptp-linux	1.10.0-1build3
printer-driver-brlaser	6-3
printer-driver-c2esp	27-11build1
printer-driver-foo2zjs	20200505dfsg0-2ubuntu2.22.04.1
printer-driver-foo2zjs-common	20200505dfsg0-2ubuntu2.22.04.1
printer-driver-m2300w	0.51-15build1
printer-driver-min12xxw	0.0.9-11build2
printer-driver-pnm2ppa	1.13+nondbs-0ubuntu9
printer-driver-ptouch	1.6-2build1
printer-driver-sag-gdi	0.1-8
procps	2:3.3.17-6ubuntu2.1
proj-data	8.2.1-1
psmisc	23.4-2build3
pulseaudio	1:15.99.1+dfsg1-1ubuntu2.2
pulseaudio-utils	1:15.99.1+dfsg1-1ubuntu2.2
pybind11-dev	2.9.1-2
pydocstyle	6.1.1-1
pyflakes3	2.4.0-2
pyqt5-dev	5.15.6+dfsg-1ubuntu3
python-apt-common	2.4.0ubuntu4
python-babel-localedata	2.8.0+dfsg.1-7
python-is-python3	3.9.2-2
python-jetson-gpio	2.1.7ubuntu1
python-matplotlib-data	3.5.1-2build1
python2	2.7.18-3
python2-minimal	2.7.18-3
python2.7	2.7.18-13ubuntu1.5
python2.7-minimal	2.7.18-13ubuntu1.5
python3	3.10.6-1~22.04.1
python3-appdirs	1.4.4-2
python3-apport	2.20.11-0ubuntu82.10
python3-apt	2.4.0ubuntu4
python3-aptdaemon	1.1.1+bzr982-0ubuntu39
python3-aptdaemon.gtk3widgets	1.1.1+bzr982-0ubuntu39
python3-argcomplete	1.8.1-1.5
python3-attr	21.2.0-1
python3-babel	2.8.0+dfsg.1-7
python3-bcrypt	3.2.0-1build1
python3-beniget	0.4.1-2
python3-blinker	1.4+dfsg1-0.4
python3-brlapi:arm64	6.4-4ubuntu3
python3-brotli	1.0.9-2build6
python3-cairo:arm64	1.20.1-3build1
python3-catkin-pkg-modules	1.0.0-1
python3-certifi	2020.6.20-1
python3-cffi-backend:arm64	1.15.0-1build2
python3-chardet	4.0.0-1
python3-click	8.0.3-1
python3-colcon-argcomplete	0.3.3+upstream-1
python3-colcon-bash	0.5.0-100
python3-colcon-cd	0.2.1-100
python3-colcon-cmake	0.2.29-100
python3-colcon-common-extensions	0.3.0-100
python3-colcon-core	0.20.0+upstream-1
python3-colcon-defaults	0.2.9+upstream-1
python3-colcon-devtools	0.3.0-100
python3-colcon-installed-package-information	0.2.1-100
python3-colcon-library-path	0.2.1-100
python3-colcon-metadata	0.2.5-100
python3-colcon-notification	0.3.0-100
python3-colcon-output	0.2.13-100
python3-colcon-override-check	0.0.1-100
python3-colcon-package-information	0.4.0-100
python3-colcon-package-selection	0.2.10-100
python3-colcon-parallel-executor	0.3.0-100
python3-colcon-pkg-config	0.1.0-100
python3-colcon-powershell	0.4.0-100
python3-colcon-python-setup-py	0.2.9-100
python3-colcon-recursive-crawl	0.2.3-100
python3-colcon-ros	0.5.0-100
python3-colcon-test-result	0.3.8-100
